controller,future_window,samples,large_change_threshold,spearman_gamma_vs_future_error,mean_future_change_all,mean_future_change_large_gamma,mean_future_change_small_gamma,improvement_rate_all,improvement_rate_large_gamma,improvement_rate_small_gamma
best_controller,50,298470,0.0007342447933285013,0.07247407661879009,-0.006180131932655645,-0.006293124207654364,-0.006142467504480538,0.6717258015880994,0.6407837251065427,0.68203991923235
best_controller,100,296970,0.0007350750249376613,0.07470128195103645,-0.01242173261520168,-0.012606179973210755,-0.012360249610443986,0.6728861501161734,0.6429966461484584,0.6828494075707031
best_controller,200,293970,0.0007346511637372445,0.0776112873942471,-0.024998862346528573,-0.02524703560549185,-0.024916137176460997,0.6757186107425928,0.6472589226184807,0.6852052595055267
second_best_controller,50,298470,0.001625093733760484,0.05820495676435512,-0.0032151349125784075,-0.0026923948960146586,-0.0033893831415687846,0.5419405635407244,0.5257846632179903,0.5473259117631292
second_best_controller,100,296970,0.0016297041134681859,0.05673878329316062,-0.0064572823306065785,-0.00546447214852641,-0.006788222029647009,0.5423712832946089,0.5275379497056961,0.5473157722233946
second_best_controller,200,293970,0.0016388807556984807,0.05296155581285498,-0.012931805265653594,-0.011241792912180141,-0.01349514782698119,0.5429805762492771,0.5356292436014314,0.5454310426937957
