step,g1,g2,formation_error
0,1.0,2.9802322387695312e-08,1.8243488403295198
1,1.0,2.9802322387695312e-08,1.824580384595802
2,1.0,2.9802322387695312e-08,1.8248101454928345
3,1.0,2.9802322387695312e-08,1.8250381292865978
4,1.0,2.9802322387695312e-08,1.8252643423002963
5,1.0,5.960464477539063e-08,1.8254887909129913
6,1.0,5.960464477539063e-08,1.8257114815551092
7,1.0,5.960464477539063e-08,1.825932420708603
8,1.0,5.960464477539063e-08,1.8261516149041217
9,1.0,5.960464477539063e-08,1.8263690707189457
10,1.0,5.960464477539063e-08,1.826584794774943
11,1.0,5.960464477539063e-08,1.8267987937365535
12,1.0,5.960464477539063e-08,1.8270110743087975
13,1.0,5.960464477539063e-08,1.8272216432353081
14,1.0,5.960464477539063e-08,1.8274305072963872
15,1.0,5.960464477539063e-08,1.8276376733070892
16,1.0,5.960464477539063e-08,1.8278431481153246
17,1.0,5.960464477539063e-08,1.8280469385999871
18,1.0,5.960464477539063e-08,1.8282490516691086
19,1.0,5.960464477539063e-08,1.828449494258033
20,1.0,5.960464477539063e-08,1.8286482733276135
21,1.0,5.960464477539063e-08,1.828845395862435
22,1.0,5.960464477539063e-08,1.8290408688690565
23,1.0,8.940696716308594e-08,1.8292346993748758
24,1.0,8.940696716308594e-08,1.8294268944246825
25,1.0,8.940696716308594e-08,1.82961746108064
26,1.0,8.940696716308594e-08,1.8298064064200785
27,1.0,8.940696716308594e-08,1.8299937375338495
28,1.0,8.940696716308594e-08,1.8301794615246993
29,1.0,8.940696716308594e-08,1.8303635855056628
30,1.0,8.940696716308594e-08,1.8305461165984793
31,1.0,8.940696716308594e-08,1.8307270619320306
32,1.0,8.940696716308594e-08,1.8309064286407963
33,1.0,8.940696716308594e-08,1.8310842238633291
34,1.0,8.940696716308594e-08,1.8312603862699837
35,1.0,8.940696716308594e-08,1.8314348999710248
36,1.0,8.940696716308594e-08,1.8316077628410243
37,1.0,1.1920928955078125e-07,1.8317789728020388
38,1.0,1.1920928955078125e-07,1.8319485278232255
39,1.0,1.1920928955078125e-07,1.8321164259204596
40,1.0,1.1920928955078125e-07,1.8322826651559554
41,1.0,1.1920928955078125e-07,1.8324472436378862
42,1.0,1.1920928955078125e-07,1.8326101595200128
43,1.0,1.1920928955078125e-07,1.8327714110013111
44,1.0,1.1920928955078125e-07,1.8329309963256026
45,1.0,1.1920928955078125e-07,1.8330889137811879
46,1.0,1.1920928955078125e-07,1.833245161700481
47,1.0,1.4901161193847656e-07,1.8333997384596505
48,1.0,1.4901161193847656e-07,1.8335526424782587
49,1.0,1.4901161193847656e-07,1.8337038722189056
50,1.0,1.4901161193847656e-07,1.833853426186875
51,1.0,1.4901161193847656e-07,1.8340013029297821
52,1.0,1.7881393432617188e-07,1.8341475010372263
53,1.0,1.7881393432617188e-07,1.8342920191404428
54,1.0,1.7881393432617188e-07,1.8344348559119585
55,1.0,2.086162567138672e-07,1.8345760100652517
56,1.0,2.086162567138672e-07,1.834715480354412
57,1.0,2.384185791015625e-07,1.8348532655738026
58,1.0,2.384185791015625e-07,1.8349893645577273
59,1.0,2.682209014892578e-07,1.8351237761800971
60,1.0,2.682209014892578e-07,1.8352564993541005
61,1.0,2.980232238769531e-07,1.835387533031876
62,1.0,2.980232238769531e-07,1.8355168762041885
63,1.0,3.2782554626464844e-07,1.8356445279001046
64,1.0,3.2782554626464844e-07,1.835770487186672
65,1.0,3.5762786865234375e-07,1.8358947531686032
66,1.0,3.8743019104003906e-07,1.8360173249879561
67,1.0,4.172325134277344e-07,1.8361382018238248
