step,g1,g2,formation_error
0,1.0,0.0,2.4091380843017665
1,1.0,0.0,2.4096396600588115
2,1.0,0.0,2.410137859104048
3,1.0,0.0,2.410632678418539
4,1.0,0.0,2.4111241150930858
5,1.0,0.0,2.4116121663271777
6,1.0,0.0,2.4120968294279397
7,1.0,0.0,2.4125781018090957
8,1.0,0.0,2.4130559809899346
9,1.0,0.0,2.413530464594293
10,1.0,0.0,2.414001550349534
11,1.0,0.0,2.4144692360855475
12,1.0,0.0,2.4149335197337485
13,1.0,0.0,2.415394399326091
14,1.0,0.0,2.4158518729940806
15,1.0,0.0,2.4163059389678105
16,1.0,0.0,2.4167565955749843
17,1.0,0.0,2.417203841239971
18,1.0,0.0,2.417647674482841
19,1.0,0.0,2.4180880939184406
20,1.0,0.0,2.418525098255443
21,1.0,0.0,2.4189586862954315
22,1.0,0.0,2.4193888569319753
23,1.0,0.0,2.419815609149722
24,1.0,0.0,2.4202389420234893
25,1.0,0.0,2.4206588547173755
26,1.0,0.0,2.421075346483862
27,1.0,0.0,2.4214884166629385
28,1.0,0.0,2.421898064681226
29,1.0,0.0,2.422304290051109
30,1.0,0.0,2.422707092369877
31,1.0,0.0,2.423106471318873
32,1.0,0.0,2.423502426662644
33,1.0,0.0,2.423894958248104
34,1.0,0.0,2.4242840660037035
35,1.0,0.0,2.4246697499386043
36,1.0,0.0,2.42505201014186
37,1.0,0.0,2.4254308467816053
38,1.0,0.0,2.4258062601042534
39,1.0,0.0,2.4261782504336953
40,1.0,0.0,2.4265468181705097
41,1.0,0.0,2.426911963791183
42,1.0,0.0,2.427273687847321
43,1.0,0.0,2.4276319909648882
44,1.0,0.0,2.4279868738434356
45,1.0,0.0,2.4283383372553478
46,1.0,0.0,2.428686382045083
47,1.0,0.0,2.429031009128435
48,1.0,0.0,2.429372219491788
49,1.0,0.0,2.429710014191387
50,1.0,0.0,2.4300443943526036
51,1.0,0.0,2.430375361169225
52,1.0,0.0,2.430702915902728
53,1.0,0.0,2.431027059881578
54,1.0,0.0,2.4313477945005197
55,1.0,0.0,2.4316651212198845
56,1.0,0.0,2.431979041564894
57,1.0,0.0,2.4322895571249785
