step,g1,g2,formation_error
0,0.999998927116394,1.1742115020751953e-05,1.686408888311357
1,0.9999989867210388,1.1026859283447266e-05,1.6868438523690616
2,0.9999990463256836,1.0401010513305664e-05,1.6872758865479496
3,0.9999991059303284,9.775161743164062e-06,1.6877049847100984
4,0.9999991655349731,9.208917617797852e-06,1.6881311408338118
5,0.9999991655349731,8.672475814819336e-06,1.6885543490125356
6,0.9999992251396179,8.165836334228516e-06,1.6889746034537854
7,0.9999992847442627,7.68899917602539e-06,1.689391898478082
8,0.9999992847442627,7.331371307373047e-06,1.6898062285178927
9,0.9999992847442627,7.0035457611083984e-06,1.6902175881165873
10,0.9999993443489075,6.705522537231445e-06,1.690625971927395
11,0.9999994039535522,6.407499313354492e-06,1.6910313747123784
12,0.9999994039535522,6.139278411865234e-06,1.6914337913414086
13,0.9999994039535522,5.8710575103759766e-06,1.6918332167911534
14,0.9999994039535522,5.602836608886719e-06,1.6922296461440707
15,0.999999463558197,5.364418029785156e-06,1.6926230745874138
16,0.999999463558197,5.125999450683594e-06,1.6930134974122415
17,0.9999995231628418,5.066394805908203e-06,1.693400910012439
18,0.9999995231628418,5.125999450683594e-06,1.6937853078837442
19,0.9999995231628418,5.185604095458984e-06,1.6941666866227854
20,0.9999995231628418,5.245208740234375e-06,1.6945450419261252
21,0.9999995231628418,5.304813385009766e-06,1.6949203695893114
22,0.9999995231628418,5.364418029785156e-06,1.6952926655059384
23,0.9999995231628418,5.424022674560547e-06,1.6956619256667136
24,0.9999995231628418,5.4836273193359375e-06,1.6960281461585338
25,0.9999995231628418,5.513429641723633e-06,1.6963913231635699
26,0.9999995231628418,5.5730342864990234e-06,1.6967514529583543
27,0.9999995231628418,5.632638931274414e-06,1.6971085319128836
28,0.9999995231628418,5.692243576049805e-06,1.6974625564897219
29,0.9999995231628418,5.751848220825195e-06,1.697813523243117
30,0.9999995231628418,5.841255187988281e-06,1.6981614288181204
31,0.9999995231628418,5.900859832763672e-06,1.698506269949715
32,0.9999995231628418,5.990266799926758e-06,1.6988480434619522
33,0.9999995231628418,6.109476089477539e-06,1.699186746267096
34,0.9999995231628418,6.198883056640625e-06,1.699522375364772
35,0.999999463558197,6.318092346191406e-06,1.6998549278411261
36,0.999999463558197,6.4373016357421875e-06,1.7001844008679878
37,0.9999994039535522,6.5267086029052734e-06,1.700510791702045
38,0.9999994039535522,6.616115570068359e-06,1.7008340976840208
39,0.9999994039535522,6.67572021484375e-06,1.701154316237859
40,0.9999993443489075,6.735324859619141e-06,1.7014714448699182
41,0.9999992847442627,6.794929504394531e-06,1.7017854811681716
42,0.9999992847442627,6.854534149169922e-06,1.7020964228014128
43,0.9999992847442627,6.9141387939453125e-06,1.7024042675184696
44,0.9999992251396179,6.973743438720703e-06,1.7027090131474216
45,0.9999991655349731,7.033348083496094e-06,1.7030106575948327
46,0.9999991655349731,7.12275505065918e-06,1.7033091988449767
47,0.9999991655349731,7.18235969543457e-06,1.7036046349590834
48,0.9999991059303284,7.241964340209961e-06,1.703896964074582
49,0.9999990463256836,7.778406143188477e-06,1.7041861844043522
50,0.999998927116394,8.851289749145508e-06,1.7044722942359884
51,0.9999987483024597,1.0073184967041016e-05,1.7047552919310605
52,0.9999985694885254,1.1444091796875e-05,1.7050351759243874
53,0.9999983906745911,1.2993812561035156e-05,1.705311944723315
54,0.9999982118606567,1.475214958190918e-05,1.7055855969070006
55,0.9999979734420776,1.6748905181884766e-05,1.7058561311257032
56,0.9999977350234985,1.901388168334961e-05,1.7061235461000803
57,0.9999974370002747,2.154707908630371e-05,1.7063878406204893
58,0.9999971389770508,2.4437904357910156e-05,1.7066490135462968
59,0.9999967813491821,2.771615982055664e-05,1.706907063805194
60,0.9999963045120239,3.1381845474243164e-05,1.7071619903925155
61,0.9999958872795105,3.555417060852051e-05,1.7074137923705668
62,0.9999953508377075,4.023313522338867e-05,1.7076624688679567
63,0.9999947547912598,4.556775093078613e-05,1.7079080190789329
64,0.999994158744812,5.1528215408325195e-05,1.7081504422627296
65,0.9999934434890747,5.829334259033203e-05,1.7083897377429123
66,0.9999926090240479,6.592273712158203e-05,1.7086259049067367
67,0.9999916553497314,7.450580596923828e-05,1.7088589432045058
68,0.9999908208847046,8.416175842285156e-05,1.7090888521489396
69,0.9999900460243225,9.495019912719727e-05,1.7093156313145437
70,0.9999892711639404,0.00010704994201660156,1.709539280336988
71,0.9999884366989136,0.00012069940567016602,1.709759798912488
72,0.9999874830245972,0.0001360177993774414,1.709977186797194
73,0.9999865293502808,0.0001532435417175293,1.710191443806583
74,0.9999854564666748,0.00017261505126953125,1.7104025698148586
75,0.9999843835830688,0.00019434094429016113,1.7106105647543528
76,0.9999831318855286,0.0002187490463256836,1.710815428614937
77,0.9999818205833435,0.0002461075782775879,1.7110171614434346
78,0.9999804496765137,0.00027683377265930176,1.71121576334304
79,0.9999788999557495,0.00031128525733947754,1.7114112344727443
80,0.9999772310256958,0.00034993886947631836,1.7116035750467635
81,0.9999755024909973,0.00039321184158325195,1.7117927853339727
82,0.9999736547470093,0.0004417598247528076,1.711978865657346
83,0.9999716281890869,0.0004960894584655762,1.7121618163934007
84,0.9999694228172302,0.00055694580078125,1.712341637971645
85,0.999967098236084,0.0006250441074371338,1.7125183308740328
86,0.9999645948410034,0.0007012784481048584,1.7126918956344241
87,0.9999618530273438,0.0007865428924560547,1.7128623328380441
88,0.9999589920043945,0.000881880521774292,1.7130296431209555
89,0.9999562501907349,0.0009846389293670654,1.7131938271695295
90,0.9999518990516663,0.00107651948928833,1.713354885719923
91,0.9999418258666992,0.0011540651321411133,1.713512819557561
92,0.9999312162399292,0.001225590705871582,1.713667629516623
93,0.9999186992645264,0.0013014674186706543,1.7138193164795352
94,0.9999039173126221,0.001387566328048706,1.7139678813764638
95,0.9998863935470581,0.0014858245849609375,1.7141133251848184
96,0.9998657703399658,0.0015909075736999512,1.7142556489287528
97,0.9998414516448975,0.0017032921314239502,1.7143948536786762
98,0.9998128414154053,0.0018234848976135254,1.714530940550766
99,0.999779224395752,0.0019519627094268799,1.7146639107064856
100,0.9997397661209106,0.0020893216133117676,1.7147937653521046
101,0.9996933937072754,0.00223618745803833,1.7149205057382264
102,0.9996389746665955,0.002393096685409546,1.7150441331593185
103,0.999575138092041,0.002560853958129883,1.715164648953245
104,0.9995003342628479,0.00274011492729187,1.7152820545008078
105,0.9994127154350281,0.0029316842555999756,1.715396351225287
106,0.9993101358413696,0.003136366605758667,1.7155075405919886
107,0.999190092086792,0.003353506326675415,1.715615624107795
108,0.9990492463111877,0.0035803616046905518,1.7157206033207197
109,0.9990098476409912,0.003598928451538086,1.7158224798194661
110,0.998995304107666,0.003571242094039917,1.7159212552329892
111,0.9989806413650513,0.003544360399246216,1.7160169312300653
112,0.9989659190177917,0.003518223762512207,1.7161095095188563
113,0.9989510774612427,0.0034929215908050537,1.7161989918464908
114,0.9989360570907593,0.0034683942794799805,1.7162853799986368
115,0.9989210367202759,0.0034446120262145996,1.7163686757990866
116,0.9989057779312134,0.003421604633331299,1.7164488811093412
117,0.9988905191421509,0.0033993422985076904,1.7165259978281986
118,0.9988751411437988,0.0033777952194213867,1.7166000278913487
119,0.9988546371459961,0.0033274590969085693,1.7166709732709684
120,0.9987958669662476,0.003071516752243042,1.7167388359753224
121,0.9987343549728394,0.0028361976146698,1.7168036180483677
122,0.9986699819564819,0.002619832754135132,1.7168653215693572
123,0.9986025094985962,0.002420783042907715,1.716923948652457
124,0.9985319972038269,0.002237647771835327,1.7169795014463534
125,0.9984581470489502,0.0020690560340881348,1.7170319821338778
126,0.9983810186386108,0.0019138157367706299,1.717081392931622
127,0.9983001947402954,0.0017708539962768555,1.717127736089567
128,0.9982157945632935,0.0016391277313232422,1.7171710138907081
129,0.9981274604797363,0.0015177130699157715,1.7172112286506895
130,0.998035192489624,0.0014057755470275879,1.7172483827174354
131,0.9979388117790222,0.001302570104598999,1.7172824784707905
132,0.9978380799293518,0.0012073516845703125,1.7173135183221613
133,0.9977328777313232,0.001119464635848999,1.7173415047141598
134,0.9976229667663574,0.0010383129119873047,1.7173664401202509
135,0.9975082278251648,0.0009634196758270264,1.7173883270444044
136,0.9973884224891663,0.0008942186832427979,1.7174071680207488
137,0.9972634315490723,0.0008302628993988037,1.7174229656132283
138,0.9971330165863037,0.0007711648941040039,1.7174357224152634
139,0.9969968795776367,0.0007165074348449707,1.7174454410494144
140,0.9968549013137817,0.0006659328937530518,1.7174521241670477
141,0.9967068433761597,0.0006191730499267578,1.7174557744480063
142,0.9965595006942749,0.0005766153335571289,1.7174563946002812
143,0.9964172840118408,0.0005380809307098389,1.7174539873596866
144,0.9962700009346008,0.0005022883415222168,1.7174485554895402
145,0.996117353439331,0.00046899914741516113,1.7174401017803442
146,0.995963454246521,0.0004381239414215088,1.717428629049468
147,0.9958041906356812,0.0004093050956726074,1.7174141401408365
148,0.995639443397522,0.00038254261016845703,1.7173966379246217
149,0.9954689741134644,0.00035762786865234375,1.7173761252969342
