step,g1,g2,formation_error
0,1.0,0.0,1.8442577363631643
1,1.0,0.0,1.8441256368073242
2,1.0,0.0,1.8439919954610882
3,1.0,0.0,1.8438568093919774
4,1.0,0.0,1.8437200757095022
5,1.0,0.0,1.8435817915648376
6,1.0,0.0,1.843441954150504
7,1.0,0.0,1.8433005607000443
8,1.0,0.0,1.8431576084877104
9,1.0,0.0,1.8430130948281442
10,1.0,0.0,1.842867017076068
11,1.0,0.0,1.8427193726259716
12,1.0,0.0,1.8425701589118046
13,1.0,0.0,1.842419373406667
14,1.0,0.0,1.8422670136225086
15,1.0,0.0,1.8421130771098213
16,1.0,0.0,1.8419575614573418
17,1.0,0.0,1.8418004642917531
18,1.0,0.0,1.8416417832773844
19,1.0,0.0,1.841481516115919
20,1.0,0.0,1.8413196605461015
21,1.0,0.0,1.841156214343446
22,1.0,0.0,1.8409911753199473
23,1.0,0.0,1.840824541323795
24,1.0,0.0,1.8406563102390867
25,1.0,0.0,1.8404864799855463
26,1.0,0.0,1.8403150485182442
27,1.0,0.0,1.8401420138273146
28,1.0,0.0,1.8399673739376805
29,1.0,0.0,1.839791126908778
30,1.0,0.0,1.8396132708342823
31,1.0,0.0,1.8394338038418359
32,1.0,0.0,1.83925272409278
33,1.0,0.0,1.8390700297818838
34,1.0,0.0,1.838885719137081
35,1.0,0.0,1.838699790419205
36,1.0,0.0,1.8385122419217244
37,1.0,0.0,1.8383230719704846
38,1.0,0.0,1.8381322789234475
39,1.0,0.0,1.8379398611704334
40,1.0,0.0,1.8377458171328702
41,1.0,0.0,1.8375501452635326
42,1.0,0.0,1.8373528440462965
43,1.0,0.0,1.8371539119958857
44,1.0,0.0,1.8369533476576236
45,1.0,0.0,1.836751149607188
46,1.0,0.0,1.836547316450365
47,1.0,0.0,1.8363418468228043
48,1.0,0.0,1.8361347393897822
49,1.0,0.0,1.8359259928459566
50,1.0,0.0,1.8357156059151316
51,1.0,0.0,1.8355035773500203
52,1.0,0.0,1.8352899059320094
53,1.0,0.0,1.8350745904709271
54,1.0,0.0,1.8348576298048114
55,1.0,0.0,1.8346390227996772
56,1.0,0.0,1.8344187683492925
57,1.0,0.0,1.834196865374948
58,1.0,0.0,1.833973312825235
59,1.0,0.0,1.833748109675818
60,1.0,0.0,1.8335212549292157
61,1.0,0.0,1.8332927476145808
62,1.0,0.0,1.8330625867874792
63,1.0,0.0,1.832830771529672
64,1.0,0.0,1.832597300948904
65,1.0,0.0,1.8323621741786853
66,1.0,0.0,1.83212539037808
67,1.0,0.0,1.8318869487314955
68,1.0,0.0,1.8316468484484723
69,1.0,0.0,1.8314050887634747
70,1.0,0.0,1.8311616689356875
71,1.0,0.0,1.8309165882488065
72,1.0,0.0,1.8306698460108388
73,1.0,0.0,1.8304214415538969
74,1.0,0.0,1.8301713742339993
75,1.0,0.0,1.8299196434308738
76,1.0,0.0,1.8296662485477544
77,1.0,0.0,1.8294111890111895
78,1.0,0.0,1.8291544642708435
79,1.0,0.0,1.828896073799305
80,1.0,0.0,1.8286360170918943
81,1.0,0.0,1.828374293666472
82,1.0,0.0,1.8281109030632494
83,1.0,0.0,1.8278458448446013
84,1.0,0.0,1.8275791185948784
85,1.0,0.0,1.8273107239202222
86,1.0,0.0,1.8270406604483815
87,1.0,0.0,1.8267689278285282
88,1.0,0.0,1.8264955257310784
89,1.0,0.0,1.8262204538475095
90,1.0,0.0,1.8259437118901847
91,1.0,0.0,1.825665299592172
92,1.0,0.0,1.8253852167070719
93,1.0,0.0,1.8251034630088392
94,1.0,0.0,1.824820038291613
95,1.0,0.0,1.824534942369541
96,1.0,0.0,1.8242481750766106
97,1.0,0.0,1.8239597362664794
98,1.0,0.0,1.823669625812306
99,1.0,0.0,1.8233778436065828
100,1.0,0.0,1.8230843895609707
101,1.0,0.0,1.8227892636061354
102,1.0,0.0,1.82249246569158
103,1.0,0.0,1.8221939957854882
104,1.0,0.0,1.8218938538745597
105,1.0,0.0,1.82159203996385
106,1.0,0.0,1.821288554076615
107,1.0,0.0,1.8209833962541517
108,1.0,0.0,1.8206765665556408
109,1.0,0.0,1.8203680650579943
110,1.0,0.0,1.8200578918556982
111,1.0,0.0,1.819746047060664
112,1.0,0.0,1.8194325308020742
113,1.0,0.0,1.819117343226232
114,1.0,0.0,1.8188004844964134
115,1.0,0.0,1.8184819547927182
116,1.0,0.0,1.818161754311924
117,1.0,0.0,1.8178398832673373
118,1.0,0.0,1.8175163418886533
119,1.0,0.0,1.8171911304218094
120,1.0,0.0,1.8168642491288407
121,1.0,0.0,1.8165356982877447
122,1.0,0.0,1.8162054781923351
123,1.0,0.0,1.8158735891521038
124,1.0,0.0,1.8155400314920862
125,1.0,0.0,1.8152048055527175
126,1.0,0.0,1.814867911689704
127,1.0,0.0,1.8145293502738815
128,1.0,0.0,1.8141891216910873
129,1.0,0.0,1.8138472263420211
130,1.0,0.0,1.8135036646421172
131,1.0,0.0,1.8131584370214135
132,1.0,0.0,1.8128115439244203
133,1.0,0.0,1.8124629858099903
134,1.0,0.0,1.8121127631511946
135,1.0,0.0,1.8117608764351913
136,1.0,0.0,1.8114073261631032
137,1.0,0.0,1.8110521128498909
138,1.0,0.0,1.8106952370242293
139,1.0,0.0,1.810336699228386
140,1.0,0.0,1.8099765000180976
141,1.0,0.0,1.809614639962449
142,1.0,0.0,1.8092511196437553
143,1.0,0.0,1.8088859396574393
144,1.0,0.0,1.808519100611917
145,1.0,0.0,1.8081506031284778
146,1.0,0.0,1.807780447841169
147,1.0,0.0,1.8074086353966823
148,1.0,0.0,1.8070351664542357
149,1.0,0.0,1.806660041685464
150,1.0,0.0,1.806283261774303
151,1.0,0.0,1.8059048274168805
152,1.0,0.0,1.8055247393214036
153,1.0,0.0,1.805142998208049
154,1.0,0.0,1.804759604808856
155,1.0,0.0,1.8043745598676162
156,1.0,0.0,1.8039878641397673
157,1.0,0.0,1.8035995183922866
158,1.0,0.0,1.8032095234035852
159,1.0,0.0,1.8028178799634038
160,1.0,0.0,1.8024245888727102
161,1.0,0.0,1.802029650943593
162,1.0,0.0,1.8016330669991631
163,1.0,0.0,1.801234837873451
164,1.0,0.0,1.8008349644113069
165,1.0,0.0,1.8004334474682986
166,1.0,0.0,1.8000302879106171
167,1.0,0.0,1.7996254866149763
168,1.0,0.0,1.799219044468516
169,1.0,0.0,1.7988109623687056
170,1.0,0.0,1.7984012412232486
171,1.0,0.0,1.7979898819499895
172,1.0,0.0,1.7975768854768175
173,1.0,0.0,1.7971622527415747
174,1.0,0.0,1.7967459846919647
175,1.0,0.0,1.7963280822854586
176,1.0,0.0,1.795908546489207
