step,g1,g2,formation_error
0,0.41289231181144714,0.9998928308486938,1.6818600108730883
1,0.4134436845779419,0.9998935461044312,1.68259759459746
2,0.4139934480190277,0.9998942613601685,1.683332261016513
3,0.41454190015792847,0.9998949766159058,1.684064006112771
4,0.4150889217853546,0.9998956918716431,1.6847928259907345
5,0.41563478112220764,0.9998964071273804,1.6855187168756398
6,0.41617903113365173,0.9998971223831177,1.6862416751122284
7,0.41672182083129883,0.999897837638855,1.686961697163528
8,0.41726329922676086,0.9998984932899475,1.6876787796096464
9,0.41780364513397217,0.99989914894104,1.688392919146572
10,0.4183424413204193,0.9998998641967773,1.6891041125849904
11,0.4188796579837799,0.9999005198478699,1.689812356849105
12,0.4194156527519226,0.9999011754989624,1.6905176489754747
13,0.41995036602020264,0.9999018311500549,1.6912199861118586
14,0.42048636078834534,0.9999024868011475,1.6919193655160711
15,0.4210430979728699,0.9999032020568848,1.692615784554848
16,0.4215983748435974,0.9999037981033325,1.693309240702724
17,0.42215216159820557,0.9999045133590698,1.6939997315409183
18,0.4227045774459839,0.9999051094055176,1.6946872547562293
19,0.4232555329799652,0.9999058246612549,1.6953718081399451
20,0.42380520701408386,0.9999064207077026,1.6960533895867556
21,0.42435309290885925,0.9999070167541504,1.6967319970936814
22,0.42489972710609436,0.9999076724052429,1.6974076287590085
23,0.42544496059417725,0.9999083280563354,1.6980802827812334
24,0.42598873376846313,0.9999089241027832,1.6987499574580192
25,0.4265311062335968,0.999909520149231,1.699416651185159
26,0.4270719289779663,0.9999101161956787,1.7000803624555505
27,0.427611380815506,0.9999107122421265,1.7007410898581783
28,0.4281492233276367,0.9999113082885742,1.7013988320771076
29,0.4286859333515167,0.999911904335022,1.7020535878904848
30,0.42922094464302063,0.9999125003814697,1.702705356169548
31,0.4297546148300171,0.9999130964279175,1.7033541358776463
32,0.4302869737148285,0.9999136328697205,1.7039999260692704
33,0.43081748485565186,0.9999141693115234,1.7046427258890875
34,0.43134695291519165,0.9999147653579712,1.7052825345709883
35,0.4318748414516449,0.9999153017997742,1.7059193514371416
36,0.4324014484882355,0.9999158382415771,1.7065531758970587
37,0.4329264163970947,0.9999164342880249,1.7071840074466635
38,0.4334501028060913,0.9999169111251831,1.7078118456673756
39,0.4339723289012909,0.9999175071716309,1.708436690225196
40,0.4344930946826935,0.9999179840087891,1.7090585408698051
41,0.4350123405456543,0.999918520450592,1.7096773974336705
42,0.4355301558971405,0.999919056892395,1.710293259831157
43,0.4360603392124176,0.9999195337295532,1.7109061280576503
44,0.4365909695625305,0.9999200701713562,1.7115160021886866
45,0.43712013959884644,0.9999206066131592,1.7121228823790882
46,0.43764805793762207,0.9999210834503174,1.7127267688621124
47,0.4381740391254425,0.9999216198921204,1.7133276619486
48,0.43869876861572266,0.9999221563339233,1.7139255620261424
49,0.43922197818756104,0.9999226331710815,1.714520469558244
50,0.4397438168525696,0.9999231100082397,1.715112385083504
51,0.4402640759944916,0.999923586845398,1.715701309214796
52,0.44078317284584045,0.9999240636825562,1.7162872426384612
53,0.44130051136016846,0.9999245405197144,1.7168701861135083
54,0.44181644916534424,0.9999250173568726,1.7174501404708167
55,0.4423309564590454,0.9999254941940308,1.7180271066123527
56,0.44284409284591675,0.999925971031189,1.7186010855103886
57,0.4433556795120239,0.9999264478683472,1.7191720782067303
58,0.44386589527130127,0.9999269247055054,1.7197400858119516
59,0.4443743824958801,0.9999274015426636,1.7203051095046384
60,0.44488170742988586,0.999927818775177,1.7208671505306357
61,0.4453875422477722,0.9999282360076904,1.7214262102023021
62,0.4458918273448944,0.9999287128448486,1.7219822898977764
63,0.44639483094215393,0.9999291300773621,1.7225353910602406
64,0.4468963146209717,0.9999295473098755,1.7230855151972033
65,0.44739627838134766,0.9999300241470337,1.7236326638797759
66,0.447894811630249,0.9999304413795471,1.724176838741966
67,0.44839176535606384,0.9999308586120605,1.724718041479971
68,0.44888752698898315,0.999931275844574,1.7252562738514818
69,0.44938182830810547,0.9999316930770874,1.7257915376749902
70,0.44987455010414124,0.999932050704956,1.7263238348291043
71,0.4503658711910248,0.9999325275421143,1.7268531672518714
72,0.45085588097572327,0.9999328851699829,1.7273795369401035
73,0.4513443410396576,0.9999333024024963,1.7279029459487107
74,0.4518313407897949,0.9999337196350098,1.7284233963900444
75,0.4523170292377472,0.9999340772628784,1.7289408904332393
76,0.4528011381626129,0.9999344348907471,1.7294554303035685
77,0.4532839357852936,0.9999348521232605,1.7299670182818003
78,0.4537651538848877,0.9999352693557739,1.7304756567035608
79,0.45424512028694153,0.9999356269836426,1.7309813479587062
80,0.45472362637519836,0.9999359846115112,1.731484094490696
81,0.4552006721496582,0.9999363422393799,1.731983898795977
82,0.45567578077316284,0.9999366998672485,1.7324807634233674
83,0.4561498761177063,0.9999370574951172,1.7329746909734516
84,0.45662230253219604,0.9999374747276306,1.7334656840979765
85,0.4570932388305664,0.9999378323554993,1.7339537454992577
86,0.45756304264068604,0.9999381303787231,1.7344388779295878
87,0.45803114771842957,0.9999384880065918,1.7349210841906506
88,0.4584979712963104,0.9999388456344604,1.735400367132942
89,0.45896321535110474,0.9999392032623291,1.7358767296551945
90,0.4594273567199707,0.9999395608901978,1.7363501747038097
91,0.4598900079727173,0.9999399185180664,1.736820705272294
92,0.4603511393070221,0.9999402761459351,1.7372883244006976
93,0.4608108699321747,0.9999405741691589,1.7377530351750645
94,0.4612692892551422,0.9999408721923828,1.7382148407268818
95,0.4617261588573456,0.9999412298202515,1.7386737442325366
96,0.46284663677215576,0.9999420642852783,1.7391297489127786
97,0.46416738629341125,0.99994295835495,1.7395828580321862
98,0.46548452973365784,0.9999438524246216,1.7400330748986355
99,0.46679824590682983,0.9999447464942932,1.740480402862783
100,0.46810832619667053,0.9999456405639648,1.7409248453175405
101,0.46941468119621277,0.9999464750289917,1.7413664056975646
102,0.47071754932403564,0.9999473094940186,1.741805087478746
103,0.4720166325569153,0.9999481439590454,1.7422408941777083
104,0.4733121991157532,0.9999489784240723,1.7426738293513018
105,0.474604070186615,0.9999497532844543,1.7431038965961136
106,0.47589224576950073,0.9999505281448364,1.743531099547978
107,0.47717681527137756,0.9999512434005737,1.743955441881485
108,0.4784576892852783,0.9999520778656006,1.7443769273095024
109,0.4797346889972687,0.9999527931213379,1.7447955595826998
110,0.48100802302360535,0.9999535083770752,1.745211342489072
111,0.4822775423526764,0.9999542236328125,1.7456242798534742
112,0.48354363441467285,0.9999549388885498,1.7460343755371566
113,0.4848058521747589,0.9999555945396423,1.7464416334373036
114,0.4860641062259674,0.9999562501907349,1.7468460574865823
115,0.48731860518455505,0.9999569654464722,1.7472476516526854
116,0.4885697066783905,0.9999575614929199,1.7476464199378905
117,0.4898167550563812,0.9999582171440125,1.748042366378612
