step,g1,g2,formation_error
0,1.0,0.0,2.270163082034363
1,1.0,0.0,2.270646943969924
2,1.0,0.0,2.2711274520329803
3,1.0,0.0,2.2716046033978774
4,1.0,0.0,2.2720783953463974
5,1.0,0.0,2.272548825266714
6,1.0,0.0,2.2730158906523545
7,1.0,0.0,2.273479589101171
8,1.0,0.0,2.2739399183143125
9,1.0,0.0,2.2743968760952242
10,1.0,0.0,2.2748504603486346
11,1.0,0.0,2.2753006690795594
12,1.0,0.0,2.2757475003923195
13,1.0,0.0,2.2761909524895567
14,1.0,0.0,2.276631023671264
15,1.0,0.0,2.2770677123338228
16,1.0,0.0,2.2775010169690453
17,1.0,0.0,2.277930936163232
18,1.0,0.0,2.278357468596225
19,1.0,0.0,2.278780613040484
20,1.0,0.0,2.2792003683601565
21,1.0,0.0,2.2796167335101667
22,1.0,0.0,2.280029707535303
23,1.0,0.0,2.2804392895693186
24,1.0,0.0,2.280845478834037
25,1.0,0.0,2.281248274638471
26,1.0,0.0,2.2816476763779354
27,1.0,0.0,2.2820436835331863
28,1.0,0.0,2.2824362956695476
29,1.0,0.0,2.2828255124360606
30,1.0,0.0,2.2832113335646356
31,1.0,0.0,2.283593758869202
32,1.0,0.0,2.283972788244881
33,1.0,0.0,2.2843484216671555
34,1.0,0.0,2.2847206591910454
35,1.0,0.0,2.2850895009502987
36,1.0,0.0,2.2854549471565813
37,1.0,0.0,2.285816998098674
38,1.0,0.0,2.2861756541416853
39,1.0,0.0,2.286530915726258
40,1.0,0.0,2.2868827833677905
41,1.0,0.0,2.287231257655667
42,1.0,0.0,2.287576339252483
43,1.0,0.0,2.2879180288932908
44,1.0,0.0,2.2882563273848415
45,1.0,0.0,2.288591235604839
46,1.0,0.0,2.2889227545011965
47,1.0,0.0,2.289250885091303
48,1.0,0.0,2.2895756284612925
49,1.0,0.0,2.289896985765324
50,1.0,0.0,2.2902149582248614
51,1.0,0.0,2.2905295471279623
52,1.0,0.0,2.2908407538285784
53,1.0,0.0,2.2911485797458524
54,1.0,0.0,2.291453026363426
55,1.0,0.0,2.2917540952287547
56,1.0,0.0,2.292051787952425
57,1.0,0.0,2.2923461062074795
58,1.0,0.0,2.29263705172875
59,1.0,0.0,2.292924626312191
60,1.0,0.0,2.293208831814224
61,1.0,0.0,2.29348967015108
62,1.0,0.0,2.2937671432981617
63,1.0,0.0,2.294041253289393
64,1.0,0.0,2.294312002216589
65,1.0,0.0,2.2945793922288247
66,1.0,0.0,2.2948434255318078
67,1.0,0.0,2.295104104387262
68,1.0,0.0,2.2953614311123114
69,1.0,0.0,2.29561540807887
70,1.0,0.0,2.2958660377130413
71,1.0,0.0,2.296113322494517
72,1.0,0.0,2.296357264955985
73,1.0,0.0,2.2965978676825407
74,1.0,0.0,2.296835133311103
75,1.0,0.0,2.2970690645298357
76,1.0,0.0,2.297299664077578
77,1.0,0.0,2.2975269347432707
78,1.0,0.0,2.297750879365397
79,1.0,0.0,2.2979715008314208
80,1.0,0.0,2.298188802077236
81,1.0,0.0,2.2984027860866147
82,1.0,0.0,2.298613455890666
83,1.0,0.0,2.298820814567292
84,1.0,0.0,2.2990248652406575
85,1.0,0.0,2.299225611080658
86,1.0,0.0,2.299423055302392
87,1.0,0.0,2.2996172011656437
88,1.0,0.0,2.2998080519743636
89,1.0,0.0,2.299995611076156
90,1.0,0.0,2.3001798818617756
91,1.0,0.0,2.300360867764618
92,1.0,0.0,2.300538572260225
93,1.0,0.0,2.3007129988657895
94,1.0,0.0,2.300884151139663
95,1.0,0.0,2.3010520326808734
96,1.0,0.0,2.301216647128639
97,1.0,0.0,2.3013779981618923
98,1.0,0.0,2.3015360894988093
99,1.0,0.0,2.3016909248963375
100,1.0,0.0,2.3018425081497282
101,1.0,0.0,2.301990843092081
102,1.0,0.0,2.302135933593883
103,1.0,0.0,2.302277783562556
104,1.0,0.0,2.3024163969420064
105,1.0,0.0,2.3025517777121842
106,1.0,0.0,2.302683929888636
107,1.0,0.0,2.30281285752207
108,1.0,0.0,2.3029385646979232
109,1.0,0.0,2.3030610555359288
110,1.0,0.0,2.303180334189693
111,1.0,0.0,2.3032964048462703
112,1.0,0.0,2.303409271725747
113,1.0,0.0,2.3035189390808224
114,1.0,0.0,2.3036254111964016
115,1.0,0.0,2.303728692389185
116,1.0,0.0,2.3038287870072653
117,1.0,0.0,2.3039256994297257
118,1.0,0.0,2.3040194340662428
119,1.0,0.0,2.3041099953566957
120,1.0,0.0,2.3041973877707718
121,1.0,0.0,2.304281615807582
122,1.0,0.0,2.304362683995278
123,1.0,0.0,2.30444059689067
124,1.0,0.0,2.304515359078853
125,1.0,0.0,2.3045869751728327
126,1.0,0.0,2.304655449813152
127,1.0,0.0,2.30472078766753
128,1.0,0.0,2.3047829934304933
129,1.0,0.0,2.3048420718230203
130,1.0,0.0,2.30489802759218
131,1.0,0.0,2.3049508655107815
132,1.0,0.0,2.3050005903770208
133,1.0,0.0,2.305047207014133
134,1.0,0.0,2.3050907202700506
135,1.0,0.0,2.305131135017059
136,1.0,0.0,2.30516845615146
137,1.0,0.0,2.305202688593233
138,1.0,0.0,2.3052338372857077
139,1.0,0.0,2.3052619071952303
140,1.0,0.0,2.305286903310839
141,1.0,0.0,2.305308830643938
142,1.0,0.0,2.305327694227982
143,1.0,0.0,2.3053434991181496
144,1.0,0.0,2.305356250391037
145,1.0,0.0,2.3053659531443413
146,1.0,0.0,2.3053726124965506
147,1.0,0.0,2.3053762335866392
148,1.0,0.0,2.3053768215737613
149,1.0,0.0,2.305374381636953
150,1.0,0.0,2.305368918974832
151,1.0,0.0,2.3053604388053
152,1.0,0.0,2.305348946365253
153,1.0,0.0,2.3053344469102868
154,1.0,0.0,2.305316945714414
155,1.0,0.0,2.3052964480697726
156,1.0,0.0,2.3052729592863503
157,1.0,0.0,2.3052464846916965
158,1.0,0.0,2.30521702963065
159,1.0,0.0,2.305184599465063
160,1.0,0.0,2.3051491995735276
161,1.0,0.0,2.305110835351104
162,1.0,0.0,2.305069512209056
163,1.0,0.0,2.305025235574583
164,1.0,0.0,2.304978010890558
165,1.0,0.0,2.304927843615268
166,1.0,0.0,2.3048747392221527
167,1.0,0.0,2.304818703199553
168,1.0,0.0,2.3047597410504532
169,1.0,0.0,2.304697858292233
170,1.0,0.0,2.3046330604564167
171,1.0,0.0,2.3045653530884276
172,1.0,0.0,2.3044947417473414
173,1.0,0.0,2.3044212320056476
174,1.0,0.0,2.304344829449008
175,1.0,0.0,2.3042655396760163
176,1.0,0.0,2.3041833682979664
177,1.0,0.0,2.304098320938616
178,1.0,0.0,2.3040104032339586
179,1.0,0.0,2.3039196208319908
180,1.0,0.0,2.303825979392488
181,1.0,0.0,2.3037294845867757
182,1.0,0.0,2.303630142097513
183,1.0,0.0,2.303527957618464
184,1.0,0.0,2.3034229368542865
185,1.0,0.0,2.3033150855203086
186,1.0,0.0,2.3032044093423187
187,1.0,0.0,2.3030909140563502
188,1.0,0.0,2.302974605408473
189,1.0,0.0,2.3028554891545805
190,1.0,0.0,2.3027335710601884
191,1.0,0.0,2.3026088569002243
192,1.0,0.0,2.3024813524588277
193,1.0,0.0,2.302351063529148
194,1.0,0.0,2.3022179959131464
195,1.0,0.0,2.3020821554213957
196,1.0,0.0,2.301943547872888
197,1.0,0.0,2.301802179094838
198,1.0,0.0,2.301658054922491
199,1.0,0.0,2.3015111811989395
200,1.0,0.0,2.3013615637749245
201,1.0,0.0,2.301209208508655
202,1.0,0.0,2.301054121265623
203,1.0,0.0,2.3008963079184186
204,1.0,0.0,2.3007357743465504
205,1.0,0.0,2.300572526436265
206,1.0,0.0,2.3004065700803684
207,1.0,0.0,2.3002379111780513
208,1.0,0.0,2.3000665556347126
209,1.0,0.0,2.2998925093617886
210,1.0,0.0,2.299715778276581
211,1.0,0.0,2.299536368302085
212,1.0,0.0,2.2993542853668263
213,1.0,0.0,2.299169535404689
214,1.0,0.0,2.2989821243547555
215,1.0,0.0,2.298792058161139
216,1.0,0.0,2.298599342772827
217,1.0,0.0,2.298403984143516
218,1.0,0.0,2.2982059882314556
219,1.0,0.0,2.298005360999292
220,1.0,0.0,2.2978021084139106
221,1.0,0.0,2.2975962364462834
222,1.0,0.0,2.297387751071316
223,1.0,0.0,2.2971766582676962
224,1.0,0.0,2.2969629640177462
225,1.0,0.0,2.2967466743072706
226,1.0,0.0,2.2965277951254137
227,1.0,0.0,2.296306332464513
228,1.0,0.0,2.2960822923199555
229,1.0,0.0,2.2958556806900328
230,1.0,0.0,2.295626503575804
231,1.0,0.0,2.2953947669809542
232,1.0,0.0,2.295160476911655
233,1.0,0.0,2.2949236393764303
234,1.0,0.0,2.2946842603860196
235,1.0,0.0,2.2944423459532417
236,1.0,0.0,2.294197902092866
237,1.0,0.0,2.2939509348214755
238,1.0,0.0,2.293701450157344
239,1.0,0.0,2.2934494541202985
240,1.0,0.0,2.293194952731599
241,1.0,0.0,2.292937952013808
242,1.0,0.0,2.2926784579906663
243,1.0,0.0,2.292416476686969
244,1.0,0.0,2.2921520141284435
245,1.0,0.0,2.2918850763416283
246,1.0,0.0,2.2916156693537517
247,1.0,0.0,2.2913437991926133
248,1.0,0.0,2.291069471886467
249,1.0,0.0,2.290792693463904
250,1.0,0.0,2.2905134699537366
251,1.0,0.0,2.2902318073848855
252,1.0,0.0,2.2899477117862674
