step,g1,g2,formation_error
0,1.0,0.0,2.02428979262202
1,1.0,0.0,2.023895727099692
2,1.0,0.0,2.023499972286984
3,1.0,0.0,2.023102530101173
4,1.0,0.0,2.0227034024616946
5,1.0,0.0,2.0223025912900563
6,1.0,0.0,2.0219000985097533
7,1.0,0.0,2.0214959260461867
8,1.0,0.0,2.021090075826576
9,1.0,0.0,2.0206825497798855
10,1.0,0.0,2.020273349836733
11,1.0,0.0,2.019862477929317
12,1.0,0.0,2.019449935991334
13,1.0,0.0,2.0190357259579024
14,1.0,0.0,2.018619849765479
15,1.0,0.0,2.018202309351788
16,1.0,0.0,2.0177831066557403
17,1.0,0.0,2.0173622436173617
18,1.0,0.0,2.0169397221777134
19,1.0,0.0,2.0165155442788207
20,1.0,0.0,2.0160897118635996
21,1.0,0.0,2.015662226875783
22,1.0,0.0,2.0152330912598497
23,1.0,0.0,2.014802306960952
24,1.0,0.0,2.0143698759248476
25,1.0,0.0,2.013935800097827
26,1.0,0.0,2.0135000814266464
27,1.0,0.0,2.013062721858457
28,1.0,0.0,2.0126237233407416
29,1.0,0.0,2.0121830878212434
30,1.0,0.0,2.011740817247902
31,1.0,0.0,2.0112969135687875
32,1.0,0.0,2.010851378732035
33,1.0,0.0,2.0104042146857815
34,1.0,0.0,2.009955423378101
35,1.0,0.0,2.0095050067569438
36,1.0,0.0,2.0090529667700716
37,1.0,0.0,2.008599305364998
38,1.0,0.0,2.008144024488927
39,1.0,0.0,2.0076871260886913
40,1.0,0.0,2.0072286121106977
41,1.0,0.0,2.0067684845008613
42,1.0,0.0,2.006306745204552
43,1.0,0.0,2.005843396166535
44,1.0,0.0,2.005378439330915
45,1.0,0.0,2.0049118766410787
46,1.0,0.0,2.0044437100396384
47,1.0,0.0,2.0039739414683786
48,1.0,0.0,2.0035025728681997
49,1.0,0.0,2.0030296061790667
50,1.0,0.0,2.002555043339952
51,1.0,0.0,2.002078886288786
52,1.0,0.0,2.0016011369624014
53,1.0,0.0,2.001121797296487
54,1.0,0.0,2.0006408692255317
55,1.0,0.0,2.000158354682774
56,1.0,0.0,1.9996742556001574
57,1.0,0.0,1.999188573908276
58,1.0,0.0,1.9987013115363261
59,1.0,0.0,1.9982124704120605
60,1.0,0.0,1.99772205246174
61,1.0,0.0,1.9972300596100867
62,1.0,0.0,1.9967364937802343
63,1.0,0.0,1.9962413568936863
64,1.0,0.0,1.9957446508702685
65,1.0,0.0,1.9952463776280855
66,1.0,0.0,1.9947465390834742
67,1.0,0.0,1.9942451371509606
68,1.0,0.0,1.993742173743218
69,1.0,0.0,1.9932376507710234
70,1.0,0.0,1.9927315701432147
71,1.0,0.0,1.9922239337666479
72,1.0,0.0,1.9917147435461589
73,1.0,0.0,1.9912040013845205
74,1.0,0.0,1.990691709182403
75,1.0,0.0,1.9901778688383334
76,1.0,0.0,1.989662482248657
77,1.0,0.0,1.9891455513074996
78,1.0,0.0,1.9886270779067265
79,1.0,0.0,1.9881070639359077
80,1.0,0.0,1.9875855112822784
81,1.0,0.0,1.9870624218307034
82,1.0,0.0,1.98653779746364
83,1.0,0.0,1.9860116400611032
84,1.0,0.0,1.9854839515006275
85,1.0,0.0,1.9849547336572364
86,1.0,0.0,1.9844239884034036
87,1.0,0.0,1.983891717609022
88,1.0,0.0,1.9833579231413672
89,1.0,0.0,1.9828226068650672
90,1.0,0.0,1.982285770642069
91,1.0,0.0,1.9817474163316036
92,1.0,0.0,1.9812075457901583
93,1.0,0.0,1.9806661608714424
94,1.0,0.0,1.9801232634263575
95,1.0,0.0,1.979578855302966
96,1.0,0.0,1.9790329383464633
97,1.0,0.0,1.9784855143991447
98,1.0,0.0,1.9779365853003774
99,1.0,0.0,1.977386152886574
100,1.0,0.0,1.9768342189911605
101,1.0,0.0,1.976280785444551
102,1.0,0.0,1.9757258540741183
103,1.0,0.0,1.9751694267041673
104,1.0,0.0,1.9746115051559086
105,1.0,0.0,1.9740520912474318
106,1.0,0.0,1.973491186793678
107,1.0,0.0,1.9729287936064173
